n,m,comparisons,swaps,execution_time
2400,9,2878800,2881199,0.08116830000653863
2400,10,2878800,2881199,0.07532890001311898
2500,1,3123750,3126249,0.07989739999175072
2500,2,3123750,3126249,0.0796146000502631
2500,3,3123750,3126249,0.0783983999863267
2500,4,3123750,3126249,0.08030299993697554
2500,5,3123750,3126249,0.08387339999899268
2500,6,3123750,3126249,0.08919860003516078
2500,7,3123750,3126249,0.08019219990819693
2500,8,3123750,3126249,0.08008810004685074
2500,9,3123750,3126249,0.07780140009708703
2500,10,3123750,3126249,0.08054750005248934
2600,1,3378700,3381299,0.09132969996426255
2600,2,3378700,3381299,0.08533369994256645
2600,3,3378700,3381299,0.0859055999899283
2600,4,3378700,3381299,0.08353259996511042
2600,5,3378700,3381299,0.0834490000270307
2600,6,3378700,3381299,0.08857499994337559
2600,7,3378700,3381299,0.08572590001858771
2600,8,3378700,3381299,0.08803710003849119
2600,9,3378700,3381299,0.09107249998487532
2600,10,3378700,3381299,0.08542960009071976
2700,1,3643650,3646349,0.09193399990908802
2700,2,3643650,3646349,0.09261199994944036
2700,3,3643650,3646349,0.09471340000163764
2700,4,3643650,3646349,0.09104720002505928
2700,5,3643650,3646349,0.08781919989269227
2700,6,3643650,3646349,0.0885192999849096
2700,7,3643650,3646349,0.09030460007488728
2700,8,3643650,3646349,0.09036440006457269
2700,9,3643650,3646349,0.08864119998179376
2700,10,3643650,3646349,0.09803520003333688
2800,1,3918600,3921399,0.09728869993705302
2800,2,3918600,3921399,0.09517200000118464
2800,3,3918600,3921399,0.09684440004639328
2800,4,3918600,3921399,0.09850500000175089
2800,5,3918600,3921399,0.09552309999708086
2800,6,3918600,3921399,0.09395050001330674
2800,7,3918600,3921399,0.09433590003754944
2800,8,3918600,3921399,0.0950379999121651
2800,9,3918600,3921399,0.09554250002838671
2800,10,3918600,3921399,0.09522990009281784
2900,1,4203550,4206449,0.11232449999079108
2900,2,4203550,4206449,0.1007439000532031
2900,3,4203550,4206449,0.1010685000801459
2900,4,4203550,4206449,0.10608340008184314
2900,5,4203550,4206449,0.10007749998476356
2900,6,4203550,4206449,0.10134530009236187
2900,7,4203550,4206449,0.10279110004194081
2900,8,4203550,4206449,0.10021459998097271
2900,9,4203550,4206449,0.09924149990547448
2900,10,4203550,4206449,0.10051670006942004
3000,1,4498500,4501499,0.13458740001078695
3000,2,4498500,4501499,0.1315784000325948
3000,3,4498500,4501499,0.12492639990523458
3000,4,4498500,4501499,0.11478469998110086
3000,5,4498500,4501499,0.10643370007164776
3000,6,4498500,4501499,0.11323770007584244
3000,7,4498500,4501499,0.10679450002498925
3000,8,4498500,4501499,0.10597879998385906
3000,9,4498500,4501499,0.10492199996951967
3000,10,4498500,4501499,0.10588219994679093
3100,1,4803450,4806549,0.12919449992477894
3100,2,4803450,4806549,0.11579029995482415
3100,3,4803450,4806549,0.11167719995137304
3100,4,4803450,4806549,0.11016290006227791
3100,5,4803450,4806549,0.12111690000165254
3100,6,4803450,4806549,0.11141859996132553
3100,7,4803450,4806549,0.11167280003428459
3100,8,4803450,4806549,0.11228830006439239
3100,9,4803450,4806549,0.11038799991365522
3100,10,4803450,4806549,0.12436909996904433
3200,1,5118400,5121599,0.12456550006754696
3200,2,5118400,5121599,0.11820210004225373
3200,3,5118400,5121599,0.12003420002292842
3200,4,5118400,5121599,0.11789950006641448
3200,5,5118400,5121599,0.11655209993477911
3200,6,5118400,5121599,0.11655619996599853
3200,7,5118400,5121599,0.11779920000117272
3200,8,5118400,5121599,0.12175359996035695
3200,9,5118400,5121599,0.13351489999331534
3200,10,5118400,5121599,0.11993339995387942
3300,1,5443350,5446649,0.12548990000505
3300,2,5443350,5446649,0.12374169996473938
3300,3,5443350,5446649,0.12517250003293157
3300,4,5443350,5446649,0.1224625000031665
3300,5,5443350,5446649,0.12712560000363737
3300,6,5443350,5446649,0.12441489996854216
3300,7,5443350,5446649,0.1283270000712946
3300,8,5443350,5446649,0.13571030006278306
3300,9,5443350,5446649,0.12452559999655932
3300,10,5443350,5446649,0.12391010008286685
3400,1,5778300,5781699,0.1305406999308616
