n,m,comparisons,swaps,execution_time
1200,10,12785,5781,0.015926500083878636
1300,1,14817,4885,0.01519529998768121
1300,2,14817,4885,0.015970100066624582
1300,3,14817,4885,0.01742069993633777
1300,4,14817,4885,0.017609099973924458
1300,5,14817,4885,0.016237400006502867
1300,6,14817,4885,0.01974090002477169
1300,7,14817,4885,0.017835100064985454
1300,8,14817,4885,0.01746939995791763
1300,9,14817,4885,0.015722300042398274
1300,10,14817,4885,0.016163800028152764
1400,1,15131,5641,0.016809700056910515
1400,2,15131,5641,0.017568200011737645
1400,3,15131,5641,0.017115900060161948
1400,4,15131,5641,0.018929900019429624
1400,5,15131,5641,0.0180887000169605
1400,6,15131,5641,0.015879299957305193
1400,7,15131,5641,0.017123800003901124
1400,8,15131,5641,0.01631560001987964
1400,9,15131,5641,0.01794349995907396
1400,10,15131,5641,0.015624799998477101
1500,1,16366,6135,0.015822499990463257
1500,2,16366,6135,0.01612879999447614
1500,3,16366,6135,0.017356100026518106
1500,4,16366,6135,0.016786899999715388
1500,5,16366,6135,0.01688450004439801
1500,6,16366,6135,0.017065900028683245
1500,7,16366,6135,0.015337100019678473
1500,8,16366,6135,0.0165244999807328
1500,9,16366,6135,0.020079399924725294
1500,10,16366,6135,0.01628600002732128
1600,1,17566,6995,0.016037900000810623
1600,2,17566,6995,0.01741790003143251
1600,3,17566,6995,0.016101700020954013
1600,4,17566,6995,0.015343100065365434
1600,5,17566,6995,0.015860200044699013
1600,6,17566,6995,0.016705699963495135
1600,7,17566,6995,0.01719839998986572
1600,8,17566,6995,0.015824000001884997
1600,9,17566,6995,0.01918249996379018
1600,10,17566,6995,0.01671250001527369
1700,1,19545,9178,0.018397899926640093
1700,2,19545,9178,0.016101600020192564
1700,3,19545,9178,0.01591409998945892
1700,4,19545,9178,0.015982900047674775
1700,5,19545,9178,0.016251199995167553
1700,6,19545,9178,0.015690800035372376
1700,7,19545,9178,0.016843700082972646
1700,8,19545,9178,0.017531199962832034
1700,9,19545,9178,0.015697099966928363
1700,10,19545,9178,0.015423299977555871
1800,1,20428,7514,0.01630779996048659
1800,2,20428,7514,0.017925000051036477
1800,3,20428,7514,0.018088600016199052
1800,4,20428,7514,0.015820199972949922
1800,5,20428,7514,0.0166606999700889
1800,6,20428,7514,0.018301800009794533
1800,7,20428,7514,0.016827400075271726
1800,8,20428,7514,0.0194860000628978
1800,9,20428,7514,0.01694360002875328
1800,10,20428,7514,0.015953400055877864
1900,1,22013,8847,0.017160500050522387
1900,2,22013,8847,0.016421100008301437
1900,3,22013,8847,0.01686499989591539
1900,4,22013,8847,0.01689769991207868
1900,5,22013,8847,0.01599260000512004
1900,6,22013,8847,0.01603229995816946
1900,7,22013,8847,0.016099400003440678
1900,8,22013,8847,0.017482600058428943
1900,9,22013,8847,0.017667699954472482
1900,10,22013,8847,0.019199599977582693
2000,1,23314,8612,0.015610500006005168
2000,2,23314,8612,0.01676750008482486
2000,3,23314,8612,0.016564899939112365
2000,4,23314,8612,0.015685199992731214
2000,5,23314,8612,0.015564400004222989
2000,6,23314,8612,0.015183300012722611
2000,7,23314,8612,0.01830380002502352
2000,8,23314,8612,0.016501599922776222
2000,9,23314,8612,0.01665739994496107
2000,10,23314,8612,0.016185299959033728
2100,1,25497,10982,0.01725779997650534
2100,2,25497,10982,0.017311599920503795
2100,3,25497,10982,0.01798510004300624
2100,4,25497,10982,0.017303199972957373
2100,5,25497,10982,0.017075099982321262
2100,6,25497,10982,0.017703300109133124
2100,7,25497,10982,0.017541699926368892
2100,8,25497,10982,0.01747980003710836
2100,9,25497,10982,0.017632200033403933
2100,10,25497,10982,0.016676599974744022
2200,1,25749,10308,0.016685100039467216
2200,2,25749,10308,0.018520900048315525
2200,3,25749,10308,0.017892700037918985
2200,4,25749,10308,0.01716579997446388
