n,m,comparisons,swaps,execution_time
3300,5,193822,101496,0.03175049996934831
3300,6,193822,101496,0.0328304999275133
3300,7,193822,101496,0.03969250002410263
3300,8,193822,101496,0.04135880002286285
3300,9,193822,101496,0.026918699964880943
3300,10,193822,101496,0.024852799950167537
3400,1,202591,106603,0.024445299990475178
3400,2,202591,106603,0.025401399936527014
3400,3,202591,106603,0.024439700064249337
3400,4,202591,106603,0.025556899956427515
3400,5,202591,106603,0.02516640000976622
3400,6,202591,106603,0.025951200048439205
3400,7,202591,106603,0.026521499967202544
3400,8,202591,106603,0.025922399945557117
3400,9,202591,106603,0.0252123000100255
3400,10,202591,106603,0.023509400081820786
3500,1,209588,109983,0.02510750002693385
3500,2,209588,109983,0.02454259991645813
3500,3,209588,109983,0.025382300023920834
3500,4,209588,109983,0.025293100043199956
3500,5,209588,109983,0.025350600015372038
3500,6,209588,109983,0.025511400075629354
3500,7,209588,109983,0.024917000089772046
3500,8,209588,109983,0.025534600019454956
3500,9,209588,109983,0.02421379997394979
3500,10,209588,109983,0.02457250002771616
3600,1,212019,110215,0.024857299984432757
3600,2,212019,110215,0.024685599957592785
3600,3,212019,110215,0.02471579995471984
3600,4,212019,110215,0.0284939999692142
3600,5,212019,110215,0.02576079999562353
3600,6,212019,110215,0.025462100049480796
3600,7,212019,110215,0.02445260004606098
3600,8,212019,110215,0.024897400056943297
3600,9,212019,110215,0.02651350002270192
3600,10,212019,110215,0.026150900055654347
3700,1,221641,115782,0.025958499987609684
3700,2,221641,115782,0.028365700040012598
3700,3,221641,115782,0.02605230000335723
3700,4,221641,115782,0.02897689992096275
3700,5,221641,115782,0.030090400017797947
3700,6,221641,115782,0.03885480004828423
3700,7,221641,115782,0.0335149000165984
3700,8,221641,115782,0.032028699992224574
3700,9,221641,115782,0.03224580001551658
3700,10,221641,115782,0.031976499943993986
3800,1,227416,118871,0.03470379998907447
3800,2,227416,118871,0.0326828999677673
3800,3,227416,118871,0.032807799987494946
3800,4,227416,118871,0.033473200048319995
3800,5,227416,118871,0.03366260009352118
3800,6,227416,118871,0.0327528000343591
3800,7,227416,118871,0.031987000023946166
3800,8,227416,118871,0.03275839996058494
3800,9,227416,118871,0.0330252000130713
3800,10,227416,118871,0.03253070008940995
3900,1,235175,122422,0.03272299992386252
3900,2,235175,122422,0.03407429996877909
3900,3,235175,122422,0.03368310001678765
3900,4,235175,122422,0.034617200028151274
3900,5,235175,122422,0.03613930009305477
3900,6,235175,122422,0.0354649000801146
3900,7,235175,122422,0.034009600058197975
3900,8,235175,122422,0.0330136000411585
3900,9,235175,122422,0.032405200065113604
3900,10,235175,122422,0.035348900011740625
4000,1,244896,127994,0.03588440001476556
4000,2,244896,127994,0.03566510009113699
4000,3,244896,127994,0.03529210004489869
4000,4,244896,127994,0.03434479993302375
4000,5,244896,127994,0.03671990009024739
4000,6,244896,127994,0.036652600043453276
4000,7,244896,127994,0.0339745000237599
4000,8,244896,127994,0.03478759992867708
4000,9,244896,127994,0.03642669995315373
4000,10,244896,127994,0.03345769993029535
4100,1,249580,130261,0.03753879992291331
