n,m,comparisons,swaps,execution_time
700,5,244650,122849,0.01851119997445494
700,6,244650,122849,0.017021300038322806
700,7,244650,122849,0.016432400094345212
700,8,244650,122849,0.015551400021649897
700,9,244650,122849,0.015295500052161515
700,10,244650,122849,0.016132800024934113
800,1,319600,160399,0.01858700008597225
800,2,319600,160399,0.01841220003552735
800,3,319600,160399,0.01967850001528859
800,4,319600,160399,0.02015120000578463
800,5,319600,160399,0.019230599980801344
800,6,319600,160399,0.018508900073356926
800,7,319600,160399,0.0181275000795722
800,8,319600,160399,0.019070599926635623
800,9,319600,160399,0.018306300044059753
800,10,319600,160399,0.01866800000425428
900,1,404550,202949,0.019310300005599856
900,2,404550,202949,0.01973359996918589
900,3,404550,202949,0.01953380007762462
900,4,404550,202949,0.021445499965921044
900,5,404550,202949,0.01998230000026524
900,6,404550,202949,0.01987399999052286
900,7,404550,202949,0.019291299977339804
900,8,404550,202949,0.019988800049759448
900,9,404550,202949,0.02081090002320707
900,10,404550,202949,0.019634999916888773
1000,1,499500,250499,0.01958550000563264
1000,2,499500,250499,0.020251800073310733
1000,3,499500,250499,0.02096579992212355
1000,4,499500,250499,0.019384899991564453
1000,5,499500,250499,0.020454499986954033
1000,6,499500,250499,0.02027139998972416
1000,7,499500,250499,0.021031699958257377
1000,8,499500,250499,0.020066799945198
1000,9,499500,250499,0.019458699971437454
1000,10,499500,250499,0.02039439999498427
1100,1,604450,303049,0.021162700024433434
1100,2,604450,303049,0.021239400026388466
1100,3,604450,303049,0.02224030008073896
1100,4,604450,303049,0.023676199954934418
1100,5,604450,303049,0.02151590003632009
1100,6,604450,303049,0.02080190007109195
1100,7,604450,303049,0.021220299997366965
1100,8,604450,303049,0.021719199954532087
1100,9,604450,303049,0.021700499928556383
1100,10,604450,303049,0.021338699967600405
1200,1,719400,360599,0.021424399921670556
1200,2,719400,360599,0.021955500007607043
1200,3,719400,360599,0.0264114000601694
1200,4,719400,360599,0.027067200047895312
1200,5,719400,360599,0.023820200003683567
1200,6,719400,360599,0.02418119995854795
1200,7,719400,360599,0.028948099934495986
1200,8,719400,360599,0.02625270001590252
1200,9,719400,360599,0.025504799908958375
1200,10,719400,360599,0.0216582000721246
1300,1,844350,423149,0.022952000028453767
1300,2,844350,423149,0.02494160004425794
1300,3,844350,423149,0.02389079995919019
1300,4,844350,423149,0.024581899982877076
1300,5,844350,423149,0.023866499890573323
1300,6,844350,423149,0.023710799985565245
1300,7,844350,423149,0.024152499972842634
1300,8,844350,423149,0.022657099994830787
1300,9,844350,423149,0.02373380004428327
1300,10,844350,423149,0.023691300069913268
1400,1,979300,490699,0.023955499986186624
1400,2,979300,490699,0.024155799997970462
1400,3,979300,490699,0.024438600055873394
1400,4,979300,490699,0.02484189998358488
1400,5,979300,490699,0.025064799934625626
1400,6,979300,490699,0.025017600040882826
1400,7,979300,490699,0.024728700052946806
1400,8,979300,490699,0.0271667999913916
1400,9,979300,490699,0.02638739999383688
1400,10,979300,490699,0.024756899918429554
1500,1,1124250,563249,0.02696079993620515
1500,2,1124250,563249,0.02857580001000315
1500,3,1124250,563249,0.027243399992585182
1500,4,1124250,563249,0.02797559997998178
1500,5,1124250,563249,0.025205599959008396
1500,6,1124250,563249,0.02611920004710555
1500,7,1124250,563249,0.026466900017112494
1500,8,1124250,563249,0.027875400031916797
1500,9,1124250,563249,0.026640200056135654
1500,10,1124250,563249,0.026992900064215064
1600,1,1279200,640799,0.026820499915629625
1600,2,1279200,640799,0.027458199998363853
1600,3,1279200,640799,0.02903949993196875
1600,4,1279200,640799,0.03129549999721348
1600,5,1279200,640799,0.02870190003886819
1600,6,1279200,640799,0.027743799961172044
1600,7,1279200,640799,0.029184899991378188
1600,8,1279200,640799,0.02845400001388043
1600,9,1279200,640799,0.028598700067959726
1600,10,1279200,640799,0.028514400008134544
1700,1,1444150,723349,0.029775199946016073
1700,2,1444150,723349,0.03131049999501556
1700,3,1444150,723349,0.029181999969296157
1700,4,1444150,723349,0.03164259996265173
1700,5,1444150,723349,0.02966330002527684
1700,6,1444150,723349,0.02934190002270043
1700,7,1444150,723349,0.028766100062057376
1700,8,1444150,723349,0.029428599984385073
1700,9,1444150,723349,0.031163500039838254
1700,10,1444150,723349,0.03217459993902594
1800,1,1619100,810899,0.032345599960535765
1800,2,1619100,810899,0.031238600029610097
1800,3,1619100,810899,0.030801699962466955
1800,4,1619100,810899,0.032837800099514425
1800,5,1619100,810899,0.03304230002686381
1800,6,1619100,810899,0.03068079997319728
1800,7,1619100,810899,0.035370899946428835
1800,8,1619100,810899,0.030578000005334616
1800,9,1619100,810899,0.03072999999858439
1800,10,1619100,810899,0.030488799908198416
1900,1,1804050,903449,0.032316400087438524
1900,2,1804050,903449,0.03460470004938543
1900,3,1804050,903449,0.03324560006149113
1900,4,1804050,903449,0.033640500041656196
1900,5,1804050,903449,0.034604999935254455
1900,6,1804050,903449,0.03530370001681149
1900,7,1804050,903449,0.035256799892522395
1900,8,1804050,903449,0.03601300006266683
1900,9,1804050,903449,0.034012500080280006
1900,10,1804050,903449,0.03190910001285374
2000,1,1999000,1000999,0.03605439991224557
2000,2,1999000,1000999,0.03521050000563264
2000,3,1999000,1000999,0.03703410003799945
2000,4,1999000,1000999,0.03476859990041703
2000,5,1999000,1000999,0.03488099994137883
2000,6,1999000,1000999,0.03439539996907115
2000,7,1999000,1000999,0.034473099978640676
2000,8,1999000,1000999,0.0356021000770852
2000,9,1999000,1000999,0.035399500047788024
2000,10,1999000,1000999,0.03871740004979074
2100,1,2203950,1103549,0.03725289995782077
2100,2,2203950,1103549,0.037498799967579544
2100,3,2203950,1103549,0.038846899988129735
2100,4,2203950,1103549,0.03682489995844662
2100,5,2203950,1103549,0.037070199963636696
2100,6,2203950,1103549,0.0363300999160856
2100,7,2203950,1103549,0.03697879996616393
2100,8,2203950,1103549,0.0373261000495404
2100,9,2203950,1103549,0.0376535999821499
2100,10,2203950,1103549,0.036901800078339875
2200,1,2418900,1211099,0.03887020004913211
2200,2,2418900,1211099,0.03818709996994585
2200,3,2418900,1211099,0.03934819996356964
2200,4,2418900,1211099,0.039916699985042214
2200,5,2418900,1211099,0.04012279992457479
2200,6,2418900,1211099,0.04383910004980862
2200,7,2418900,1211099,0.038661599974147975
2200,8,2418900,1211099,0.0412149999756366
2200,9,2418900,1211099,0.04147950001060963
2200,10,2418900,1211099,0.03923009999562055
2300,1,2643850,1323649,0.04144910001195967
2300,2,2643850,1323649,0.04020449996460229
2300,3,2643850,1323649,0.040377199999056756
2300,4,2643850,1323649,0.04145070002414286
2300,5,2643850,1323649,0.040947599918581545
2300,6,2643850,1323649,0.04214759997557849
2300,7,2643850,1323649,0.041103499941527843
2300,8,2643850,1323649,0.04332389996852726
2300,9,2643850,1323649,0.04031760001089424
2300,10,2643850,1323649,0.042858699918724597
2400,1,2878800,1441199,0.04531220009084791
2400,2,2878800,1441199,0.04392540000844747
2400,3,2878800,1441199,0.04608340002596378
2400,4,2878800,1441199,0.04508219996932894
2400,5,2878800,1441199,0.049532299977727234
