n,m,comparisons,swaps,execution_time
800,5,38570,27431,0.017212299979291856
800,6,38570,27431,0.0183732999721542
800,7,38570,27431,0.016662499983794987
800,8,38570,27431,0.016364999930374324
800,9,38570,27431,0.017520299996249378
800,10,38570,27431,0.01655529998242855
900,1,44651,30950,0.0169170000590384
900,2,44651,30950,0.019220200018025935
900,3,44651,30950,0.017479500034824014
900,4,44651,30950,0.018850099993869662
900,5,44651,30950,0.019479200011119246
900,6,44651,30950,0.01804170000832528
900,7,44651,30950,0.019429199979640543
900,8,44651,30950,0.018047900055535138
900,9,44651,30950,0.016948600066825747
900,10,44651,30950,0.0187158000189811
1000,1,50872,35216,0.019246699986979365
1000,2,50872,35216,0.01830550003796816
1000,3,50872,35216,0.017286600079387426
1000,4,50872,35216,0.017623400082811713
1000,5,50872,35216,0.017246900009922683
1000,6,50872,35216,0.018320400035008788
1000,7,50872,35216,0.019086599932052195
1000,8,50872,35216,0.019292899989522994
1000,9,50872,35216,0.018283299985341728
1000,10,50872,35216,0.017743000062182546
1100,1,57260,39182,0.017928499961271882
1100,2,57260,39182,0.01784280000720173
1100,3,57260,39182,0.01952579990029335
1100,4,57260,39182,0.01834379998035729
1100,5,57260,39182,0.019436500035226345
1100,6,57260,39182,0.01979859999846667
1100,7,57260,39182,0.01869080006144941
1100,8,57260,39182,0.019086700049228966
1100,9,57260,39182,0.018960400018841028
1100,10,57260,39182,0.018049399950541556
1200,1,63246,42820,0.017981099896132946
1200,2,63246,42820,0.01804009999614209
1200,3,63246,42820,0.0190386000322178
1200,4,63246,42820,0.01835430006030947
1200,5,63246,42820,0.01981029997114092
1200,6,63246,42820,0.01777609996497631
1200,7,63246,42820,0.022193600074388087
1200,8,63246,42820,0.019510000012815
1200,9,63246,42820,0.018285099999047816
1200,10,63246,42820,0.02010789990890771
1300,1,69680,46864,0.024679800029844046
1300,2,69680,46864,0.027565800002776086
1300,3,69680,46864,0.023684400017373264
1300,4,69680,46864,0.02247440000064671
1300,5,69680,46864,0.022764600114896894
1300,6,69680,46864,0.024358800030313432
1300,7,69680,46864,0.023981900070793927
1300,8,69680,46864,0.024749299976974726
1300,9,69680,46864,0.023791000014171004
1300,10,69680,46864,0.026713599916547537
1400,1,75019,51349,0.023578700027428567
1400,2,75019,51349,0.023116800002753735
1400,3,75019,51349,0.022822099970653653
1400,4,75019,51349,0.02373799995984882
1400,5,75019,51349,0.025285699986852705
1400,6,75019,51349,0.028275799937546253
