n,k,comparisons,swaps
43000,5,1137013046,1136712003
43000,6,814760017,814286794
43000,7,728681085,728337039
43000,8,805327164,804983114
43000,9,974030343,973600273
43000,10,744784746,744225661
44000,1,1080491632,1080051568
44000,2,895495593,895275563
44000,3,546651039,546298984
44000,4,1125731180,1125335123
44000,5,851118722,850546630
44000,6,810367859,809971809
44000,7,286510553,285982467
44000,8,873904984,873420909
44000,9,505959219,505431133
44000,10,646366844,645882771
45000,1,899366797,899096760
45000,2,683305296,682945241
45000,3,641881793,641116673
45000,4,931490787,931085730
45000,5,1212734698,1212329637
45000,6,626056165,625471095
45000,7,1331065898,1330885875
45000,8,806381322,806111286
45000,9,544336164,543841096
45000,10,980176567,979636481
46000,1,1195884686,1195470623
46000,2,925606013,925191951
46000,3,1058633544,1058265466
46000,4,531616327,530880231
46000,5,902110469,901696407
46000,6,743734704,743274636
46000,7,512411985,512135946
46000,8,966639816,966317772
46000,9,566897172,566575126
46000,10,1111304199,1111074168
47000,1,384437393,383732285
47000,2,1294233375,1293763304
47000,3,749900360,749430293
47000,4,672070917,671553702
47000,5,1378511650,1378229612
47000,6,564470380,563906300
47000,7,873975229,873505178
47000,8,539700455,539230391
47000,9,1168794524,1168371461
47000,10,379147959,378583862
48000,1,1124468500,1124036445
48000,2,571388106,571004053
48000,3,1188335590,1187951535
48000,4,822586683,822010548
48000,5,822586643,822010543
48000,6,570318632,569838563
48000,7,543089165,542417067
48000,8,712421903,711845817
48000,9,436359380,435735293
48000,10,599637752,599109675
49000,1,1175508901,1175263872
49000,2,532069675,531579542
49000,3,1367433549,1367188520
49000,4,976490263,976049207
49000,5,1147641971,1147249916
49000,6,765187314,764550227
49000,7,1341091948,1340748898
49000,8,676451716,675961649
49000,9,1345626741,1345136648
49000,10,1172685195,1172440165
50000,1,894023272,893273162
50000,2,880592161,880092091
50000,3,873399312,872949251
50000,4,543734096,543134024
50000,5,543734097,543134025
50000,6,788408958,788008904
50000,7,788408959,788008905
50000,8,520379384,519879316
50000,9,1431133340,1430583262
50000,10,1284627237,1284227183
