n,k,comparisons, execution_time
28000,4,15,0.0955190000240691
28000,5,15,0.10447389999171719
28000,6,14,0.14199420000659302
28000,7,15,0.11255540000274777
28000,8,13,0.12834320002002642
28000,9,12,0.11113690002821386
28000,10,14,0.09358549996977672
29000,1,14,0.10911799996392801
29000,2,8,0.1007190000382252
29000,3,14,0.10287570004584268
29000,4,15,0.09257469995645806
29000,5,13,0.08956320001743734
29000,6,15,0.09004739997908473
29000,7,13,0.0874766000197269
29000,8,15,0.09626560000469908
29000,9,14,0.09297850000439212
29000,10,15,0.0981436999863945
30000,1,13,0.09281559998635203
30000,2,15,0.09257899998920038
30000,3,13,0.10147860000142828
30000,4,13,0.08987859997432679
30000,5,15,0.0882656000321731
30000,6,14,0.1022717000450939
30000,7,14,0.08982930000638589
30000,8,13,0.09602910000830889
30000,9,13,0.0926264000008814
30000,10,12,0.09288359998026863
31000,1,15,0.09242020000237972
31000,2,15,0.09882829996058717
31000,3,14,0.09900649997871369
31000,4,15,0.11953079997329041
31000,5,15,0.09565070003736764
31000,6,15,0.10307779995491728
31000,7,13,0.11475290002999827
31000,8,15,0.09506250004051253
31000,9,14,0.10490219999337569
31000,10,13,0.09716060000937432
32000,1,13,0.09794909995980561
32000,2,14,0.09917160001350567
32000,3,13,0.09721600002376363
32000,4,15,0.10044929996365681
32000,5,13,0.09626139997271821
32000,6,14,0.0921173999668099
32000,7,14,0.09423859999515116
32000,8,14,0.10346449998905882
32000,9,14,0.09974340000189841
32000,10,15,0.10012859996641055
33000,1,15,0.1075620999909006
33000,2,13,0.11391690000891685
33000,3,14,0.1086183000006713
33000,4,15,0.10253209999063984
33000,5,15,0.11777419998543337
33000,6,14,0.10403940000105649
33000,7,14,0.1042810000362806
33000,8,7,0.11237599997548386
33000,9,15,0.12070390000008047
33000,10,13,0.11049279995495453
34000,1,15,0.10552509996341541
34000,2,14,0.09101530001498759
34000,3,13,0.11150440003257245
34000,4,15,0.10074419999727979
34000,5,14,0.10599379998166114
34000,6,14,0.11567169998306781
34000,7,14,0.11236640001880005
34000,8,14,0.1104096999624744
34000,9,15,0.09923369996249676
34000,10,15,0.0959590999991633
35000,1,14,0.11365179996937513
35000,2,14,0.10726780002005398
35000,3,13,0.11115310003515333
35000,4,14,0.10053070000139996
35000,5,14,0.10447260004002601
35000,6,14,0.10884550004266202
35000,7,15,0.12189000000944361
35000,8,15,0.13313420000486076
35000,9,14,0.10353619995294139
35000,10,14,0.11573680001311004
36000,1,10,0.1056506999884732
36000,2,15,0.10934580001048744
36000,3,14,0.1132470000302419
36000,4,13,0.09886770002776757
36000,5,14,0.10406240000156686
36000,6,15,0.09989489999134094
36000,7,15,0.10891389998141676
36000,8,13,0.10134460002882406
36000,9,8,0.10912400000961497
36000,10,12,0.12356540001928806
37000,1,11,0.11498210002901033
37000,2,13,0.11063859995920211
37000,3,11,0.10086310002952814
37000,4,16,0.10096470004646108
37000,5,13,0.10298130003502592
37000,6,12,0.10579979995964095
37000,7,16,0.11403739999514073
37000,8,13,0.10026450001168996
37000,9,14,0.10020869999425486
37000,10,13,0.1016611999948509
38000,1,14,0.10363799997139722
38000,2,16,0.10297989996615797
38000,3,11,0.10483039997052401
38000,4,15,0.10525229998165742
38000,5,10,0.10408489999826998
38000,6,13,0.11536599998362362
38000,7,16,0.11012749996734783
38000,8,15,0.10754040000028908
38000,9,10,0.107916800014209
38000,10,15,0.09775950002949685
39000,1,15,0.10220900003332645
39000,2,15,0.10167910001473501
39000,3,12,0.1091576999751851
39000,4,15,0.10143410001182929
39000,5,14,0.10586099995998666
39000,6,15,0.1064390999963507
39000,7,16,0.09729270002571866
39000,8,11,0.10056069999700412
39000,9,13,0.10193150001578033
39000,10,15,0.10541259997989982
40000,1,15,0.11153029999695718
40000,2,16,0.11658099998021498
40000,3,15,0.11729030002607033
40000,4,16,0.10496320005040616
40000,5,14,0.10301080002682284
40000,6,15,0.11309430003166199
40000,7,14,0.1002355000237003
40000,8,15,0.107511899957899
40000,9,15,0.10601350001525134
40000,10,15,0.10274429997662082
41000,1,14,0.1259684999822639
41000,2,11,0.15174410003237426
41000,3,11,0.13467800000216812
41000,4,14,0.11544719996163622
41000,5,13,0.11526420002337545
41000,6,15,0.11065100005362183
41000,7,15,0.12932919996092096
41000,8,16,0.12249150004936382
41000,9,13,0.16453499998897314
41000,10,14,0.11757679999573156
42000,1,13,0.10843090002890676
42000,2,15,0.10692660004133359
42000,3,15,0.1075373999774456
42000,4,16,0.11239449999993667
42000,5,15,0.11321310000494123
42000,6,12,0.11197959998389706
42000,7,15,0.11663689999841154
42000,8,14,0.10410380002576858
42000,9,12,0.10606940003344789
42000,10,13,0.1117398000205867
43000,1,15,0.11023260001093149
43000,2,14,0.1181858999771066
43000,3,14,0.1136930999928154
43000,4,15,0.11603440000908449
43000,5,14,0.1025249999947846
43000,6,11,0.10424479999346659
43000,7,15,0.1365599000127986
43000,8,14,0.1460928000160493
43000,9,15,0.14169369998853654
43000,10,14,0.14829199999803677
44000,1,15,0.1698276000097394
44000,2,14,0.15797090000705793
44000,3,15,0.15725799999199808
44000,4,15,0.1334220000426285
44000,5,14,0.11028419999638572
44000,6,12,0.11133470002096146
44000,7,14,0.1165845999494195
44000,8,12,0.11254280002322048
44000,9,14,0.11382670002058148
44000,10,16,0.11595190002117306
45000,1,15,0.12089909997303039
45000,2,16,0.11664429999655113
45000,3,15,0.10821899998700246
45000,4,16,0.1156042999937199
45000,5,14,0.1159155999775976
45000,6,12,0.11094530002446845
45000,7,15,0.11157369997818023
45000,8,14,0.11904479999793693
45000,9,14,0.11327100003836676
45000,10,13,0.11639500001911074
46000,1,14,0.12632969999685884
46000,2,11,0.11607220000587404
46000,3,14,0.11524229997303337
46000,4,13,0.12461239995900542
46000,5,15,0.12501040002098307
46000,6,15,0.11692379997111857
46000,7,16,0.11407559999497607
46000,8,15,0.11415400000987574
46000,9,15,0.11905390000902116
46000,10,16,0.11559520004084334
47000,1,14,0.12035469996044412
47000,2,9,0.12395650002872571
47000,3,16,0.12545950000640005
47000,4,15,0.12220119999255985
47000,5,15,0.11978059995453805
47000,6,14,0.12698770000133663
47000,7,11,0.11797959997784346
47000,8,10,0.12730609998106956
47000,9,14,0.12185760005377233
47000,10,14,0.1111685000360012
48000,1,16,0.11782139999559149
48000,2,14,0.11987230001250282
48000,3,14,0.12198799999896437
48000,4,13,0.12372989999130368
48000,5,16,0.1201082999468781
48000,6,14,0.1353127000038512
48000,7,14,0.1270471999887377
48000,8,15,0.12150960002327338
48000,9,14,0.1153941000229679
48000,10,16,0.12426750001031905
49000,1,15,0.12285490002250299
49000,2,10,0.12118289998034015
49000,3,14,0.12387810001382604
49000,4,15,0.12161800003377721
49000,5,15,0.12342949997400865
49000,6,16,0.13579599995864555
49000,7,14,0.12222379999002442
49000,8,13,0.13651210005627945
49000,9,15,0.12234609998995438
49000,10,16,0.12282530002994463
50000,1,15,0.12177780002821237
50000,2,12,0.11560769996140152
50000,3,15,0.12778340000659227
50000,4,14,0.11340650002239272
50000,5,15,0.1294313999824226
50000,6,14,0.11804860003758222
