n,k,comparisons, execution_time
24000,4,13,0.06402260001050308
24000,5,13,0.06301920005353168
24000,6,14,0.06441289995564148
24000,7,14,0.06508950004354119
24000,8,11,0.06724150001537055
24000,9,13,0.06445210002129897
24000,10,15,0.06312000000616536
25000,1,13,0.06565079995198175
25000,2,12,0.06499060004716739
25000,3,11,0.06489059998420998
25000,4,11,0.06502520001959056
25000,5,9,0.06775079999351874
25000,6,13,0.0708083999925293
25000,7,14,0.0721120000234805
25000,8,10,0.06506479997187853
25000,9,14,0.06498259998625144
25000,10,14,0.0666262999875471
26000,1,14,0.06569839996518567
26000,2,14,0.06717270001536235
26000,3,15,0.06637630000477657
26000,4,12,0.06650170002831146
26000,5,14,0.06590779998805374
26000,6,12,0.06657939997967333
26000,7,15,0.06630150001728907
26000,8,10,0.06632849999004975
26000,9,15,0.06468850001692772
26000,10,15,0.06538619997445494
27000,1,10,0.06702529999893159
27000,2,14,0.06610329996328801
27000,3,14,0.06607900001108646
27000,4,15,0.06639519997406751
27000,5,14,0.06918329995824024
27000,6,15,0.06737669999711215
27000,7,14,0.06691069999942556
27000,8,12,0.07398200000170618
27000,9,15,0.06854050001129508
27000,10,14,0.07200590003049001
28000,1,13,0.06870920001529157
28000,2,14,0.06819459999678656
28000,3,15,0.0671911999816075
28000,4,14,0.0694686999777332
28000,5,14,0.06774500000756234
28000,6,13,0.07134959998074919
28000,7,13,0.06715170003008097
28000,8,11,0.06660610000835732
28000,9,10,0.06716289999894798
28000,10,15,0.0682647000066936
29000,1,14,0.06889419996878132
29000,2,13,0.0697988000465557
29000,3,12,0.07718249998288229
29000,4,14,0.07225880003534257
29000,5,15,0.0706110000028275
29000,6,14,0.0749474999611266
29000,7,14,0.06997749995207414
29000,8,11,0.07029389997478575
29000,9,13,0.06900310004130006
29000,10,14,0.06893569999374449
30000,1,12,0.069511900015641
30000,2,14,0.0708083999925293
30000,3,15,0.06875730003230274
30000,4,11,0.07358309999108315
30000,5,12,0.0698106000199914
30000,6,15,0.07150170003296807
30000,7,11,0.07300749997375533
30000,8,13,0.07161410001572222
30000,9,14,0.07444509997731075
30000,10,15,0.07172969996463507
31000,1,14,0.07190659997286275
31000,2,13,0.07799050002358854
31000,3,13,0.07110310002462938
31000,4,12,0.07183039997471496
31000,5,15,0.07049339998047799
31000,6,14,0.07161290000658482
31000,7,13,0.07026770000811666
31000,8,14,0.075432300043758
31000,9,13,0.06954409996978939
31000,10,13,0.07761300000129268
32000,1,15,0.07325070002116263
32000,2,15,0.07329730002675205
32000,3,14,0.07384550001006573
32000,4,15,0.07397929998114705
32000,5,13,0.0734031000174582
32000,6,8,0.0743646000046283
32000,7,15,0.07611540000652894
32000,8,14,0.0749847000115551
32000,9,14,0.078762499964796
32000,10,7,0.07359300000825897
33000,1,14,0.07972139999037609
33000,2,15,0.07287340000038967
33000,3,10,0.07463860005373135
33000,4,12,0.07651179999811575
33000,5,15,0.07464920001802966
33000,6,15,0.07618080003885552
33000,7,13,0.07313600002089515
33000,8,13,0.07493030000478029
33000,9,13,0.075450100004673
33000,10,15,0.07505029998719692
34000,1,15,0.07782899995800108
34000,2,12,0.07439640001393855
34000,3,15,0.07321910001337528
34000,4,15,0.07404009997844696
34000,5,14,0.07395379996160045
34000,6,13,0.07520959997782484
34000,7,14,0.07491520000621676
34000,8,15,0.0771629000082612
34000,9,15,0.07799639995209873
34000,10,14,0.07722529995953664
35000,1,15,0.07766810001339763
35000,2,14,0.07974580000154674
35000,3,11,0.08095900004263967
35000,4,12,0.07835279998835176
35000,5,13,0.0828341000014916
35000,6,15,0.07596380001632497
35000,7,15,0.0759109000209719
35000,8,15,0.07573979999870062
35000,9,13,0.07538799999747425
35000,10,15,0.07499870000174269
36000,1,15,0.08680300001287833
36000,2,15,0.08174650004366413
36000,3,15,0.07788639998761937
36000,4,14,0.07765260001178831
36000,5,14,0.07994859997415915
36000,6,13,0.08504179998999462
36000,7,13,0.07866320002358407
36000,8,13,0.08002739999210462
36000,9,14,0.07788720005191863
36000,10,13,0.0770390999969095
37000,1,13,0.07846980000613257
37000,2,14,0.07963519997429103
37000,3,14,0.08037880004849285
37000,4,15,0.08092749997740611
37000,5,13,0.07983170001534745
37000,6,11,0.08285030000843108
37000,7,14,0.08580290002282709
37000,8,15,0.07723759999498725
37000,9,14,0.08761210000375286
37000,10,11,0.09121310000773519
38000,1,14,0.09250000002793968
38000,2,14,0.08277360000647604
38000,3,14,0.08896449999883771
38000,4,12,0.08396820002235472
38000,5,15,0.08177609997801483
38000,6,14,0.0815557999885641
38000,7,15,0.07789230003254488
38000,8,14,0.07515910000074655
38000,9,8,0.07631069998024032
38000,10,10,0.07925499998964369
39000,1,16,0.08182969997869805
39000,2,13,0.08012270001927391
39000,3,16,0.08223380002891645
39000,4,14,0.08033020002767444
39000,5,10,0.07778870000038296
39000,6,15,0.07889940001768991
39000,7,15,0.08156210003653541
39000,8,16,0.08263199997600168
39000,9,15,0.08221550000598654
39000,10,15,0.07935510005336255
40000,1,13,0.0811647999798879
40000,2,12,0.08092799998121336
40000,3,16,0.08165250002639368
40000,4,13,0.07991919998312369
40000,5,16,0.08056510001188144
40000,6,12,0.08196360000874847
40000,7,13,0.08328229998005554
40000,8,14,0.08209370000986382
40000,9,14,0.08221640001283959
40000,10,15,0.08963980001863092
41000,1,15,0.09090489998925477
41000,2,15,0.08175949996802956
41000,3,14,0.08424300001934171
41000,4,13,0.08318040001904592
41000,5,13,0.08194249996449798
41000,6,14,0.08261390001280233
41000,7,14,0.08474210003623739
41000,8,15,0.08435499999905005
41000,9,16,0.08398510003462434
41000,10,10,0.08807080000406131
42000,1,13,0.08531410002615303
42000,2,15,0.09701689996290952
42000,3,15,0.08934469998348504
42000,4,15,0.08256399998208508
42000,5,16,0.08251969999400899
42000,6,16,0.08483700000215322
42000,7,15,0.0853610000340268
42000,8,15,0.08473639999283478
42000,9,13,0.08422720001544803
42000,10,16,0.08310019999044016
43000,1,14,0.09077449998585507
43000,2,14,0.09432730003027245
43000,3,14,0.08777729998109862
43000,4,14,0.08746539999265224
43000,5,13,0.08608139998978004
43000,6,14,0.08314619999146089
43000,7,14,0.0828887999523431
43000,8,9,0.087207899952773
43000,9,9,0.08482390001881868
43000,10,15,0.08485500002279878
44000,1,15,0.08652820001589134
44000,2,15,0.0842988999793306
44000,3,13,0.09100610000314191
44000,4,15,0.09255040000425652
44000,5,14,0.08608390000881627
44000,6,10,0.08753220003563911
44000,7,14,0.09182520001195371
44000,8,15,0.08497389999683946
44000,9,13,0.08568640000885352
44000,10,15,0.09710859996266663
45000,1,12,0.08667900000000373
45000,2,16,0.09374859998933971
45000,3,14,0.08518449997063726
45000,4,15,0.09065050003118813
45000,5,14,0.08639369998127222
45000,6,14,0.0891830999753438
45000,7,13,0.0893206000328064
45000,8,15,0.08833539998158813
45000,9,15,0.08683490002295002
45000,10,15,0.08652830001665279
46000,1,16,0.08709409995935857
46000,2,14,0.08990109997102991
46000,3,14,0.08607760001905262
46000,4,11,0.08962440001778305
46000,5,14,0.08650410000700504
46000,6,15,0.08771880000131205
46000,7,15,0.08950900001218542
46000,8,16,0.08843500004149973
46000,9,13,0.09381600003689528
46000,10,15,0.08936519996495917
47000,1,12,0.09107260004384443
47000,2,14,0.09012949996395037
47000,3,15,0.08976410003378987
47000,4,15,0.09731480001937598
47000,5,15,0.09094669995829463
47000,6,13,0.0899754999554716
47000,7,14,0.08840969996526837
47000,8,13,0.09121330000925809
47000,9,12,0.09854330000234768
47000,10,12,0.09267690003616735
48000,1,13,0.09290699998382479
48000,2,15,0.08854660001816228
48000,3,11,0.08762140001635998
48000,4,14,0.09526629996253178
48000,5,16,0.09082470001885667
48000,6,16,0.0899900000076741
48000,7,15,0.08706859999801964
48000,8,16,0.08721029997104779
48000,9,9,0.08937399997375906
48000,10,16,0.09326130000408739
49000,1,14,0.0906045000301674
49000,2,13,0.0979506999719888
49000,3,15,0.0921991000068374
49000,4,16,0.09412419999716803
49000,5,12,0.09608089999528602
49000,6,14,0.09283069998491555
49000,7,12,0.09730169997783378
49000,8,13,0.09713430004194379
49000,9,14,0.0907213999889791
49000,10,15,0.09110099996905774
50000,1,14,0.0910691000171937
50000,2,14,0.09261320001678541
50000,3,13,0.09298519999720156
50000,4,10,0.09399850002955645
50000,5,15,0.09466429997701198
50000,6,14,0.09891400003107265
50000,7,14,0.0923361000022851
50000,8,15,0.09244269999908283
50000,9,13,0.09186099999351427
50000,10,13,0.09307240002090111
51000,1,14,0.09929440001724288
51000,2,13,0.09401289996458218
51000,3,14,0.09150889999000356
51000,4,9,0.0946686000097543
51000,5,15,0.09355650003999472
51000,6,16,0.09665699995821342
51000,7,16,0.09231350000482053
51000,8,16,0.09286800003610551
51000,9,12,0.09285449999151751
51000,10,14,0.09324139996897429
52000,1,13,0.09726710000541061
52000,2,15,0.10671720001846552
52000,3,15,0.09698289999505505
52000,4,14,0.09519550000550225
52000,5,16,0.0946933000232093
52000,6,12,0.09610540000721812
52000,7,10,0.09681859996635467
52000,8,13,0.09399269998539239
52000,9,13,0.09349850000580773
52000,10,14,0.0946181999752298
53000,1,15,0.09488639998016879
53000,2,14,0.10142150003230199
53000,3,16,0.10441969998646528
53000,4,16,0.10262040002271533
53000,5,15,0.09498310001799837
53000,6,14,0.09331240004394203
53000,7,16,0.09614529996179044
53000,8,12,0.0970573999802582
53000,9,15,0.09881570003926754
53000,10,12,0.09563060000073165
54000,1,12,0.10297929996158928
54000,2,15,0.09577890002401546
54000,3,14,0.09610429999884218
54000,4,16,0.09541080001508817
54000,5,13,0.09468859998742118
54000,6,12,0.09610270004486665
54000,7,11,0.09699739998904988
54000,8,14,0.09621139999944717
54000,9,15,0.09775650000665337
