n,k,comparisons, execution_time
23000,9,14,0.05377930001122877
23000,10,11,0.056801200029440224
24000,1,13,0.05665520002366975
24000,2,13,0.056087000004481524
24000,3,12,0.05344109999714419
24000,4,13,0.05650240002432838
24000,5,14,0.057295700011309236
24000,6,14,0.05625379999401048
24000,7,13,0.05544179998105392
24000,8,14,0.05572639999445528
24000,9,15,0.05801709997467697
24000,10,13,0.0575095999520272
25000,1,13,0.05811009998433292
25000,2,11,0.056360999995376915
25000,3,15,0.05569550005020574
25000,4,11,0.05622829997446388
25000,5,13,0.05037200002698228
25000,6,10,0.0570525000221096
25000,7,15,0.051351399975828826
25000,8,12,0.051027000008616596
25000,9,13,0.057370099995750934
25000,10,14,0.05805250001139939
26000,1,12,0.05092619999777526
26000,2,15,0.052520799974445254
26000,3,14,0.05310499999905005
26000,4,15,0.051188499957788736
26000,5,15,0.0517952999798581
26000,6,12,0.05221920000622049
26000,7,12,0.052277499984484166
26000,8,14,0.05264399998122826
26000,9,13,0.053713200031779706
26000,10,14,0.053851000033318996
27000,1,15,0.054673300008289516
27000,2,15,0.05363280000165105
27000,3,14,0.053347400040365756
27000,4,13,0.0531619000248611
27000,5,15,0.05255650001345202
27000,6,14,0.05225670000072569
27000,7,15,0.053346000029705465
27000,8,15,0.05267219996312633
27000,9,14,0.05321310000726953
27000,10,13,0.05362409999361262
28000,1,14,0.054211100039537996
28000,2,13,0.05481479997979477
28000,3,15,0.05410379997920245
28000,4,13,0.05410080001456663
28000,5,14,0.05315890000201762
28000,6,13,0.054347399971447885
28000,7,14,0.053009299968834966
28000,8,11,0.053981499979272485
28000,9,10,0.05387000000337139
28000,10,14,0.05717640003422275
29000,1,13,0.05557229998521507
29000,2,15,0.05527910002274439
29000,3,13,0.05541030003223568
29000,4,14,0.054972600017208606
29000,5,15,0.05471540003782138
29000,6,15,0.06085290003102273
29000,7,15,0.05528920004144311
29000,8,11,0.054094400024041533
29000,9,15,0.055310600029770285
29000,10,14,0.05482990003656596
30000,1,15,0.05566259997431189
30000,2,15,0.056522500002756715
