n,k,comparisons, execution_time
16000,5,14,0.05522500001825392
16000,6,14,0.05628810002235696
16000,7,14,0.05548489995999262
16000,8,13,0.05587460001697764
16000,9,14,0.05515600001672283
16000,10,14,0.05440780002390966
17000,1,14,0.055134299967903644
17000,2,14,0.056022899982053787
17000,3,14,0.05535570002393797
17000,4,14,0.05659889994421974
17000,5,14,0.0586955999606289
17000,6,14,0.05499020003480837
17000,7,14,0.05561310000484809
17000,8,14,0.05671719997189939
17000,9,14,0.056886799982748926
17000,10,14,0.055788999947253615
18000,1,15,0.05891479999991134
18000,2,14,0.05730059999041259
18000,3,14,0.056086900003720075
18000,4,14,0.05621110001811758
18000,5,15,0.056646999961230904
18000,6,14,0.056162599998060614
18000,7,14,0.06464290001895279
18000,8,15,0.054941800015512854
18000,9,15,0.06535079999594018
18000,10,14,0.05493829998886213
19000,1,15,0.057748000021092594
19000,2,14,0.057466500031296164
19000,3,14,0.06088519998593256
19000,4,14,0.06728359998669475
19000,5,14,0.05781319999368861
19000,6,14,0.058102100039832294
19000,7,14,0.05762269999831915
19000,8,14,0.05877969996072352
19000,9,14,0.05896980001125485
19000,10,14,0.0562948000151664
20000,1,14,0.06039340002462268
20000,2,15,0.05896359996404499
20000,3,15,0.057941899984143674
20000,4,14,0.06799449998652562
20000,5,14,0.058972999977413565
20000,6,14,0.06515560002299026
20000,7,15,0.05717089999234304
20000,8,15,0.05661779997171834
20000,9,14,0.05802890000632033
20000,10,14,0.05990900000324473
21000,1,14,0.0590993000078015
21000,2,14,0.07056729996111244
21000,3,15,0.0598320999997668
21000,4,14,0.06498379999538884
21000,5,15,0.059033699973952025
21000,6,14,0.059293300029821694
21000,7,14,0.0595593000180088
21000,8,14,0.05875769996782765
21000,9,15,0.06006310001248494
21000,10,14,0.05873250000877306
22000,1,14,0.06045129999984056
22000,2,14,0.06118309998419136
22000,3,15,0.061567500000819564
22000,4,15,0.07031959999585524
22000,5,15,0.06063799996627495
22000,6,15,0.0606197000015527
22000,7,14,0.058534300012979656
22000,8,14,0.06014130002586171
22000,9,15,0.06158259999938309
22000,10,14,0.06035210000118241
23000,1,14,0.06477040000027046
23000,2,15,0.06333110004197806
23000,3,14,0.06232799997087568
23000,4,14,0.06318730005295947
23000,5,14,0.06374450004659593
23000,6,14,0.06176239997148514
23000,7,14,0.06645169999683276
23000,8,15,0.061696299992036074
23000,9,15,0.06223600002704188
23000,10,15,0.06200489995535463
24000,1,14,0.06198079994646832
24000,2,15,0.06398550001904368
24000,3,15,0.06397920002928004
24000,4,15,0.06268869998166338
24000,5,14,0.062144999974407256
24000,6,14,0.062114100030157715
24000,7,15,0.06531040003756061
24000,8,15,0.06454829999711365
24000,9,14,0.06273259996669367
24000,10,15,0.06412389996694401
25000,1,15,0.06877980002900586
25000,2,15,0.06524440000066534
25000,3,15,0.06677689997013658
25000,4,15,0.07157680002273992
25000,5,15,0.06713989999843761
25000,6,14,0.06343879998894408
25000,7,14,0.06524219998391345
25000,8,15,0.06455210002604872
25000,9,15,0.06499179999809712
25000,10,15,0.07053329999325797
26000,1,15,0.06489879998844117
26000,2,15,0.0661738000344485
26000,3,14,0.0680830999626778
26000,4,15,0.07027109997579828
26000,5,15,0.06549020000966266
26000,6,15,0.06634929997380823
26000,7,15,0.0680362000130117
26000,8,15,0.06935920001706108
26000,9,15,0.0759150999947451
26000,10,15,0.07229469995945692
27000,1,15,0.0822145999991335
27000,2,14,0.08246939996024594
27000,3,14,0.0882022000150755
27000,4,15,0.07903849997092038
27000,5,15,0.08004329999675974
27000,6,15,0.07758199999807402
27000,7,15,0.07509030000073835
27000,8,15,0.0742220000247471
27000,9,15,0.07210140000097454
27000,10,15,0.06819060002453625
28000,1,15,0.06981169997015968
28000,2,14,0.06880920002004132
28000,3,15,0.0814939999836497
28000,4,15,0.09242010000161827
28000,5,14,0.10112950002076104
28000,6,15,0.09699779999209568
28000,7,15,0.08649590000277385
28000,8,15,0.0842860999982804
28000,9,15,0.18986530002439395
28000,10,15,0.17055689997505397
29000,1,15,0.16719510004622862
29000,2,15,0.20333680004114285
29000,3,15,0.2439359999843873
29000,4,15,0.1580808000289835
29000,5,15,0.17465260002063587
29000,6,15,0.14145220001228154
29000,7,15,0.11478230002103373
29000,8,15,0.0946482999715954
29000,9,15,0.09204550000140443
29000,10,15,0.08510189998196438
30000,1,15,0.08025459997588769
30000,2,15,0.08001509995665401
30000,3,15,0.07582250004634261
30000,4,15,0.07356180000351742
30000,5,15,0.07266949996119365
