n,k,comparisons,swaps
50,82,231,286
50,83,218,286
50,84,222,286
50,85,228,286
50,86,219,286
50,87,221,286
50,88,213,286
50,89,222,286
50,90,224,286
50,91,220,286
50,92,215,286
50,93,222,286
50,94,230,286
50,95,222,286
50,96,219,286
50,97,217,286
50,98,229,286
50,99,224,286
50,100,227,286
