n,k,comparisons,swaps
9000,74,136967,48577
9000,75,135025,47086
9000,76,145927,47534
9000,77,133775,56176
9000,78,131061,50264
9000,79,129698,51359
9000,80,136391,46826
9000,81,132830,50917
9000,82,136885,47062
9000,83,133606,48306
9000,84,143090,48723
9000,85,126248,47790
9000,86,133353,48462
9000,87,127999,50910
9000,88,137857,51743
9000,89,139034,44530
9000,90,134726,49902
9000,91,132414,51615
9000,92,132185,49879
9000,93,129403,48857
9000,94,128677,51404
9000,95,127767,49500
9000,96,128531,48603
9000,97,130815,49747
9000,98,128923,56211
9000,99,128393,48679
9000,100,132087,50603
10000,1,160636,52494
10000,2,144373,58189
10000,3,144213,58514
10000,4,148280,61529
10000,5,142101,55135
10000,6,148731,51985
10000,7,146738,56542
10000,8,147074,54311
10000,9,156123,55217
10000,10,148181,54574
10000,11,146639,63144
10000,12,147090,57106
10000,13,150180,55554
10000,14,160757,52314
10000,15,146308,59173
10000,16,147086,56968
10000,17,154333,52665
10000,18,149663,53173
10000,19,145005,58793
10000,20,152998,51958
10000,21,149886,54710
10000,22,146733,55958
10000,23,148603,58653
10000,24,146380,53789
10000,25,145434,57573
10000,26,149015,54164
10000,27,155894,49742
10000,28,149944,53254
10000,29,155453,59219
10000,30,145696,55383
10000,31,152477,55801
10000,32,141381,55886
10000,33,145854,65326
10000,34,145550,57516
10000,35,147164,55347
10000,36,155227,54419
10000,37,142427,56834
10000,38,144033,51851
10000,39,146770,58428
10000,40,152573,61293
10000,41,149282,53601
10000,42,145308,56331
10000,43,155053,59631
10000,44,147194,58493
10000,45,155089,76829
10000,46,155937,56950
10000,47,147332,56415
10000,48,148885,53955
10000,49,149945,63084
10000,50,143590,58248
10000,51,163573,60345
10000,52,149488,55154
10000,53,145672,54468
10000,54,150171,53412
10000,55,152862,53356
10000,56,146235,62080
10000,57,142978,57200
10000,58,153710,51194
10000,59,149530,60918
10000,60,142146,53945
10000,61,160427,54268
10000,62,151161,54347
10000,63,151528,60248
10000,64,147292,60252
10000,65,144668,58766
10000,66,145755,57804
10000,67,142880,57278
10000,68,156879,55796
10000,69,150338,54661
10000,70,149368,54498
10000,71,146770,58418
10000,72,151864,52728
10000,73,142370,54653
10000,74,151846,63182
10000,75,168748,66983
10000,76,149523,53791
10000,77,154375,59919
10000,78,155109,56924
10000,79,146445,59271
10000,80,145949,54543
10000,81,156541,54294
10000,82,142005,58353
10000,83,149775,55853
10000,84,147065,55734
10000,85,147935,55683
10000,86,148516,54793
10000,87,142762,58001
10000,88,156569,54319
