n,k,comparisons,swaps
4000,71,6327463,6287406
4000,72,6633453,6609414
4000,73,6272244,6256213
4000,74,3649420,3609352
4000,75,2581031,2532962
4000,76,6521632,6493586
4000,77,2750756,2710687
4000,78,5820834,5796800
4000,79,7422846,7406814
4000,80,4578415,4542352
4000,81,3422788,3398751
4000,82,3517618,3465536
4000,83,5113073,5077013
4000,84,5480889,5444829
4000,85,7079748,7039692
4000,86,4732449,4700412
4000,87,4567909,4535854
4000,88,11201190,11169046
4000,89,3693448,3649314
4000,90,3357379,3313306
4000,91,10854240,10814172
4000,92,10242527,10210369
4000,93,3857761,3825708
4000,94,5175203,5155172
4000,95,7312339,7284296
4000,96,2776654,2728564
4000,97,9253504,9229480
4000,98,10918628,10898605
4000,99,5051491,5027455
4000,100,4398199,4378168
5000,1,10408919,10368866
5000,2,7108834,7068779
5000,3,13322485,13267415
5000,4,12455815,12415765
5000,5,12963478,12913426
5000,6,9693180,9658113
5000,7,6490023,6444966
5000,8,7703876,7638766
5000,9,9667735,9632689
5000,10,10556165,10536144
5000,11,5203360,5148288
5000,12,8812687,8777642
5000,13,5400576,5355523
5000,14,14185036,14134978
5000,15,9360687,9330650
5000,16,8066733,8036665
5000,17,12070460,12030412
5000,18,10211692,10176646
5000,19,8231042,8175967
5000,20,13501195,13466144
5000,21,5955903,5925865
5000,22,11727055,11687001
5000,23,5221559,5171494
5000,24,9374436,9339385
5000,25,9025427,8990387
5000,26,7837950,7797908
5000,27,10762676,10722623
5000,28,6950308,6910255
5000,29,4459073,4419019
5000,30,5750407,5700350
5000,31,8652904,8612853
5000,32,10669459,10619367
5000,33,9014690,8964623
5000,34,8475433,8435385
5000,35,6178524,6138469
5000,36,5007738,4962661
5000,37,8185947,8150902
5000,38,10300855,10250785
5000,39,11804586,11744523
5000,40,9069032,9038999
5000,41,8247592,8197529
5000,42,6058424,6018370
5000,43,3941284,3911246
5000,44,9689205,9664176
5000,45,16117855,16087817
5000,46,5121816,5081768
5000,47,14953459,14903392
5000,48,13585026,13565010
5000,49,14627044,14581989
5000,50,15494395,15464357
5000,51,6166391,6136352
5000,52,5310124,5270069
5000,53,14259011,14238988
5000,54,14605607,14580579
5000,55,5424408,5369339
5000,56,10925585,10880529
5000,57,8956226,8921171
5000,58,6703212,6638136
5000,59,12454660,12414615
5000,60,12911325,12876280
5000,61,15764964,15729926
5000,62,11575841,11540796
5000,63,17254293,17219249
5000,64,5737559,5697489
5000,65,10599223,10559172
5000,66,14938375,14908337
5000,67,17080408,17060386
5000,68,7057627,7012571
5000,69,16475336,16435288
5000,70,11126012,11090967
5000,71,5113958,5053884
5000,72,3840496,3780410
5000,73,9008996,8968949
5000,74,10013366,9983329
5000,75,10162255,10122196
5000,76,9743872,9703827
5000,77,8024146,7984100
5000,78,11256843,11221801
5000,79,5715006,5684970
5000,80,6952594,6912549
5000,81,13650129,13615086
5000,82,9158094,9133064
5000,83,6041907,5996845
5000,84,16502879,16472843
5000,85,7456930,7411875
5000,86,10142747,10077661
5000,87,9849014,9818976
5000,88,7561673,7506483
5000,89,4447341,4412296
5000,90,10874240,10839197
5000,91,8095968,8055922
5000,92,8071518,8021457
5000,93,8957924,8907808
5000,94,8903972,8858909
5000,95,9797940,9742870
5000,96,5131978,5076909
5000,97,3564795,3499710
5000,98,6287648,6252603
5000,99,15515085,15475036
5000,100,5154520,5114469
6000,1,26197680,26161618
6000,2,19095361,19047307
6000,3,18462221,18408165
6000,4,11104270,11050209
6000,5,25626042,25590003
6000,6,19929828,19887782
6000,7,17207648,17165571
6000,8,13447932,13399851
6000,9,8015532,7943445
6000,10,23661288,23631260
6000,11,10475574,10427473
6000,12,19701969,19641912
6000,13,24441348,24399301
6000,14,9421634,9373579
6000,15,26079690,26037655
6000,16,7826931,7772869
6000,17,10090802,10042748
6000,18,13101410,13029345
6000,19,12704485,12656432
6000,20,10490026,10447982
6000,21,9843533,9813511
6000,22,9829910,9775851
6000,23,4844911,4772824
6000,24,6450034,6377954
6000,25,13374427,13326374
6000,26,6412261,6328168
6000,27,19825066,19765012
6000,28,10973057,10925002
6000,29,8314394,8254287
6000,30,7481731,7439675
6000,31,4934289,4826161
6000,32,9535596,9487543
6000,33,14354008,14311965
6000,34,10183063,10122994
6000,35,11087173,11045127
6000,36,20549698,20471592
6000,37,10556658,10502596
6000,38,10709140,10661086
6000,39,15569257,15521203
6000,40,21679903,21643867
6000,41,24962345,24902306
6000,42,10426833,10390796
6000,43,17716163,17662100
6000,44,17699584,17633473
6000,45,22443400,22389354
6000,46,7151997,7073904
6000,47,5819681,5765620
6000,48,12752938,12686480
6000,49,19811703,19745624
6000,50,7975510,7921447
6000,51,25219458,25177417
6000,52,14306736,14252680
6000,53,26031076,25989045
6000,54,15658230,15610177
6000,55,15311878,15269839
6000,56,26493135,26469113
6000,57,9881013,9820944
6000,58,11958853,11916815
6000,59,15952238,15892168
6000,60,6948630,6894568
6000,61,23815171,23791140
6000,62,14922533,14850463
6000,63,9729314,9657230
6000,64,6123019,6080974
6000,65,13261267,13213181
6000,66,8265646,8211584
6000,67,20364508,20316453
6000,68,26047957,25999920
6000,69,17163622,17121580
6000,70,13326284,13260215
6000,71,19566202,19518152
6000,72,19513831,19483802
6000,73,10618834,10570737
6000,74,21779376,21743350
6000,75,10927867,10843765
6000,76,14227408,14173348
6000,77,16969018,16944995
6000,78,17028483,16986434
6000,79,20070451,20028404
6000,80,18097157,18061119
6000,81,10857932,10815885
6000,82,22872203,22794066
6000,83,13579326,13537235
6000,84,7645914,7591861
6000,85,9344006,9283937
6000,86,10923232,10857162
6000,87,15844425,15778362
6000,88,10891496,10837435
6000,89,21683001,21652972
6000,90,12804871,12762831
6000,91,8120935,8060865
6000,92,7186092,7138037
6000,93,11968781,11926736
6000,94,6334423,6292376
6000,95,14022498,13950424
6000,96,15230577,15194546
6000,97,19258447,19210398
6000,98,14392633,14350549
6000,99,18586644,18520573
6000,100,11184162,11118100
7000,1,7765197,7702135
7000,2,14750696,14701660
7000,3,17073352,17038324
7000,4,16495784,16439735
7000,5,29872651,29816597
7000,6,12297380,12241320
7000,7,10735537,10658461
7000,8,9395398,9346351
7000,9,24909073,24831994
7000,10,16766963,16703899
7000,11,17118514,17083485
7000,12,20240417,20184354
7000,13,12940781,12877726
7000,14,35927869,35871807
7000,15,14394959,14338909
7000,16,16000969,15958931
7000,17,11668084,11619045
7000,18,35979943,35944919
7000,19,16572537,16502466
7000,20,30212957,30156902
7000,21,13436339,13394234
7000,22,26207774,26151682
7000,23,15520581,15464530
7000,24,30765641,30744626
7000,25,13273696,13217649
7000,26,28762110,28727079
7000,27,18793940,18751901
7000,28,23785165,23736120
7000,29,11747210,11663136
7000,30,36290747,36262676
7000,31,11528929,11458867
7000,32,11532165,11476111
7000,33,8690434,8613356
7000,34,22925593,22855528
7000,35,9229295,9131207
7000,36,12221272,12172225
7000,37,17195014,17152980
7000,38,12052754,12017725
7000,39,31473316,31445296
7000,40,34795519,34767487
7000,41,33985304,33929247
7000,42,17773143,17745121
7000,43,32477312,32407231
7000,44,30909616,30860580
7000,45,16316320,16232248
7000,46,10201340,10145285
7000,47,10036521,9980467
7000,48,28177360,28156347
7000,49,24298490,24256453
7000,50,22438812,22361741
7000,51,15225184,15176138
7000,52,12655333,12599279
7000,53,19621867,19530800
7000,54,15490128,15413050
7000,55,33585244,33522178
7000,56,20234820,20178770
7000,57,26112899,26063854
7000,58,13482542,13433486
7000,59,20539956,20504927
7000,60,25541204,25485137
7000,61,18673369,18610274
7000,62,12074562,11997483
7000,63,18752631,18682565
7000,64,16045110,15961031
7000,65,24842328,24786274
7000,66,19251186,19195132
7000,67,17924734,17840507
7000,68,16725664,16648588
7000,69,8747840,8649744
7000,70,13998382,13900290
7000,71,19471158,19408101
7000,72,10198447,10156408
7000,73,18415263,18387245
7000,74,12946646,12890593
7000,75,18125157,18083121
7000,76,9406637,9329564
7000,77,23345008,23288955
7000,78,16203000,16167970
7000,79,19744963,19702926
7000,80,17309558,17253503
7000,81,28540327,28498289
7000,82,33205054,33163018
7000,83,17103376,17054337
7000,84,11747248,11698202
7000,85,9317657,9240582
7000,86,15334825,15285778
7000,87,28619863,28577825
7000,88,12428649,12323555
7000,89,25002621,24939538
7000,90,21383546,21334508
7000,91,25962912,25892848
7000,92,25467862,25404814
7000,93,13384888,13342852
7000,94,10737104,10660032
7000,95,16119145,16049067
7000,96,15339583,15262511
7000,97,10193216,10116129
7000,98,21921685,21865637
7000,99,8605176,8521063
7000,100,8775006,8697934
8000,1,36612087,36532022
8000,2,16734569,16662507
8000,3,42406939,42350898
8000,4,28889942,28801877
8000,5,46539557,46491522
8000,6,23578487,23498430
8000,7,45462410,45430388
8000,8,22726208,22670164
8000,9,34232259,34152205
8000,10,25848931,25792887
8000,11,46985295,46953275
8000,12,15970583,15874489
8000,13,27329074,27249006
8000,14,25322226,25250164
8000,15,15630955,15566903
8000,16,23108791,23036730
8000,17,12391276,12279187
8000,18,17134146,17070092
8000,19,22930147,22858090
8000,20,22086462,22014400
8000,21,23468781,23372696
8000,22,29952632,29880575
8000,23,39009337,38953247
8000,24,14193617,14105544
8000,25,31471795,31431766
8000,26,13824294,13680169
8000,27,19001355,18929293
8000,28,37151441,37103404
8000,29,25421541,25357502
8000,30,27983218,27895142
8000,31,13509864,13437808
8000,32,23027353,22955296
8000,33,17379036,17290960
8000,34,36274009,36193950
8000,35,18865249,18785173
8000,36,20317929,20253884
8000,37,18182813,18126769
8000,38,31235527,31155364
8000,39,14440323,14360266
8000,40,20470905,20398843
8000,41,12556784,12460706
8000,42,34186697,34113368
8000,43,27546894,27498856
8000,44,15194208,15114137
8000,45,36305801,36257763
8000,46,26357541,26293494
8000,47,18675422,18595359
8000,48,25678983,25606829
8000,49,17967868,17895806
8000,50,13009560,12937495
8000,51,16519556,16463509
8000,52,13161801,13105755
8000,53,24942626,24902599
8000,54,27103639,27055600
8000,55,11849301,11777245
8000,56,39071217,38991148
8000,57,17718098,17622034
8000,58,27089188,27033148
8000,59,12711299,12615213
8000,60,21491571,21427494
8000,61,21708229,21660151
8000,62,14435014,14370959
8000,63,30758598,30702559
8000,64,31042505,30986461
8000,65,15964123,15900070
8000,66,19395597,19315526
8000,67,24035112,23931030
8000,68,24823222,24735148
8000,69,35739991,35691961
8000,70,23916991,23844940
8000,71,23568457,23528429
8000,72,22556636,22508603
8000,73,30416433,30352390
8000,74,15521211,15465166
8000,75,10710631,10638569
8000,76,36055396,36007357
8000,77,44543856,44511834
